timestamp,n,nu,nb,n_runs,st,stf,m,op,oc,t,fi,n_rules,avg_body_len,avg_rule_prob,med_rule_prob,avg_rules_per_cl,avg_acc,min_auc,avg_auc,svm_acc,mlp_acc,random_forest_acc,hist_gradient_acc,ada_boost_acc,op_sensors,cost
2025-11-17_21-00-05,11,true,,125,6,false,cost_opt_dynamic,true,false,0.2,,13,3.076923076923077,1,1,1.3,0.926364,0.9895,0.99765,Accuracy=0.428;Precision=0.531;Recall=0.428;F1=0.455,Accuracy=0.341;Precision=0.407;Recall=0.341;F1=0.301,Accuracy=0.446;Precision=0.510;Recall=0.446;F1=0.447,Accuracy=0.462;Precision=0.580;Recall=0.462;F1=0.500,Accuracy=0.434;Precision=0.495;Recall=0.434;F1=0.430,m2_pv	k1_p1	m3_pv	e2_tsi	e2_tti	m1_pv	r1_t2	snk1_t	snk1_p	snk1_z_c2h4o	snk1_z_c2h4	snk1_z_co2,165500
2025-11-17_21-07-19,11,true,,125,6,false,cost_opt_dynamic,true,false,0.2,,13,3.076923076923077,1,1,1.3,0.926364,0.9895,0.99765,Accuracy=0.428;Precision=0.531;Recall=0.428;F1=0.455,Accuracy=0.371;Precision=0.330;Recall=0.371;F1=0.311,Accuracy=0.460;Precision=0.528;Recall=0.460;F1=0.463,Accuracy=0.462;Precision=0.580;Recall=0.462;F1=0.500,Accuracy=0.434;Precision=0.495;Recall=0.434;F1=0.430,m2_pv	k1_p1	m3_pv	e2_tsi	e2_tti	m1_pv	r1_t2	snk1_t	snk1_p	snk1_z_c2h4o	snk1_z_c2h4	snk1_z_co2,165500
2025-11-17_21-13-49,11,true,,125,6,false,cost_opt_dynamic,true,false,0.2,,13,3.076923076923077,1,1,1.3,0.926364,0.9895,0.99765,Accuracy=0.428;Precision=0.531;Recall=0.428;F1=0.455,Accuracy=0.385;Precision=0.463;Recall=0.385;F1=0.361,Accuracy=0.445;Precision=0.504;Recall=0.445;F1=0.441,Accuracy=0.462;Precision=0.580;Recall=0.462;F1=0.500,Accuracy=0.434;Precision=0.495;Recall=0.434;F1=0.430,m2_pv	k1_p1	m3_pv	e2_tsi	e2_tti	m1_pv	r1_t2	snk1_t	snk1_p	snk1_z_c2h4o	snk1_z_c2h4	snk1_z_co2,165500
2025-11-17_21-21-09,11,true,,125,6,false,cost_opt_dynamic,true,false,0.2,,13,3.076923076923077,1,1,1.3,0.926364,0.9895,0.99765,Accuracy=0.428;Precision=0.531;Recall=0.428;F1=0.455,Accuracy=0.338;Precision=0.381;Recall=0.338;F1=0.301,Accuracy=0.455;Precision=0.519;Recall=0.455;F1=0.455,Accuracy=0.462;Precision=0.580;Recall=0.462;F1=0.500,Accuracy=0.434;Precision=0.495;Recall=0.434;F1=0.430,m2_pv	k1_p1	m3_pv	e2_tsi	e2_tti	m1_pv	r1_t2	snk1_t	snk1_p	snk1_z_c2h4o	snk1_z_c2h4	snk1_z_co2,165500
2025-11-17_21-27-44,11,true,,125,6,false,cost_opt_dynamic,true,false,0.2,,13,3.076923076923077,1,1,1.3,0.926364,0.9895,0.99765,Accuracy=0.428;Precision=0.531;Recall=0.428;F1=0.455,Accuracy=0.393;Precision=0.476;Recall=0.393;F1=0.390,Accuracy=0.446;Precision=0.512;Recall=0.446;F1=0.445,Accuracy=0.462;Precision=0.580;Recall=0.462;F1=0.500,Accuracy=0.434;Precision=0.495;Recall=0.434;F1=0.430,m2_pv	k1_p1	m3_pv	e2_tsi	e2_tti	m1_pv	r1_t2	snk1_t	snk1_p	snk1_z_c2h4o	snk1_z_c2h4	snk1_z_co2,165500
