timestamp,n,nu,nb,n_runs,st,stf,m,op,oc,t,fi,n_rules,avg_body_len,avg_rule_prob,med_rule_prob,avg_rules_per_cl,avg_acc,min_auc,avg_auc,svm_acc,mlp_acc,random_forest_acc,hist_gradient_acc,ada_boost_acc,op_sensors,cost
2025-11-17_11-38-23,11,true,,125,6,false,cost_opt_dynamic,true,false,0.2,,13,3.076923076923077,1,1,1.3,0.926364,0.9895,0.99765,Accuracy=0.428Precision=0.531;Recall=0.428;F1=0.455,Accuracy=0.388;Precision=0.479;Recall=0.388;F1=0.399,Accuracy=0.442;Precision=0.502;Recall=0.442;F1=0.441,Accuracy=0.462;Precision=0.580;Recall=0.462;F1=0.500,Accuracy=0.434;Precision=0.495;Recall=0.434;F1=0.430,m2_pv	k1_p1	m3_pv	e2_tsi	e2_tti	m1_pv	r1_t2	snk1_t	snk1_p	snk1_z_c2h4o	snk1_z_c2h4	snk1_z_co2,165500
2025-11-17_11-50-14,11,true,,125,6,false,cost_opt_dynamic,true,false,0.2,,14,3.0714285714285716,1,1.0,1.4,0.926364,0.9895,0.99765,,,,,,m2_pv	k1_p1	m3_pv	e2_tsi	e2_tti	m1_pv	r1_t2	snk1_t	snk1_p	snk1_z_c2h4o	snk1_z_c2h4	snk1_z_co2,165500
2025-11-17_11-59-27,11,true,,125,6,false,cost_opt_dynamic,true,false,0.2,,13,3.076923076923077,1,1,1.3,0.926364,0.9895,0.99765,,,,,,m2_pv	k1_p1	m3_pv	e2_tsi	e2_tti	m1_pv	r1_t2	snk1_t	snk1_p	snk1_z_c2h4o	snk1_z_c2h4	snk1_z_co2,165500
2025-11-17_12-04-48,11,true,,125,6,false,cost_opt_dynamic,true,false,0.2,,13,3.076923076923077,1,1,1.3,0.926364,0.9895,0.99765,Accuracy=0.428Precision=0.531;Recall=0.428;F1=0.455,Accuracy=0.414;Precision=0.461;Recall=0.414;F1=0.418,Accuracy=0.455;Precision=0.521;Recall=0.455;F1=0.454,Accuracy=0.462;Precision=0.580;Recall=0.462;F1=0.500,Accuracy=0.434;Precision=0.495;Recall=0.434;F1=0.430,m2_pv	k1_p1	m3_pv	e2_tsi	e2_tti	m1_pv	r1_t2	snk1_t	snk1_p	snk1_z_c2h4o	snk1_z_c2h4	snk1_z_co2,165500
2025-11-17_12-12-47,11,true,,125,6,false,cost_opt_dynamic,true,false,0.2,,13,2.923076923076923,1,1,1.3,0.924545,0.9955,0.9987,Accuracy=0.428Precision=0.531;Recall=0.428;F1=0.455,Accuracy=0.369;Precision=0.391;Recall=0.369;F1=0.327,Accuracy=0.454;Precision=0.519;Recall=0.454;F1=0.455,Accuracy=0.462;Precision=0.580;Recall=0.462;F1=0.500,Accuracy=0.434;Precision=0.495;Recall=0.434;F1=0.430,m2_pv	k1_p1	m3_pv	e2_tsi	e2_tti	m1_pv	r1_t2	snk1_t	snk1_p	snk1_z_c2h4o	snk1_z_c2h4	snk1_z_co2,165500
2025-11-17_12-15-55,11,true,,125,6,false,cost_opt_dynamic,true,false,0.2,,13,3.1538461538461537,1,1,1.3,0.909091,0.9895,0.9954,Accuracy=0.428Precision=0.531;Recall=0.428;F1=0.455,Accuracy=0.360;Precision=0.413;Recall=0.360;F1=0.344,Accuracy=0.445;Precision=0.513;Recall=0.445;F1=0.445,Accuracy=0.462;Precision=0.580;Recall=0.462;F1=0.500,Accuracy=0.434;Precision=0.495;Recall=0.434;F1=0.430,m2_pv	k1_p1	m3_pv	e2_tsi	e2_tti	m1_pv	r1_t2	snk1_t	snk1_p	snk1_z_c2h4o	snk1_z_c2h4	snk1_z_co2,165500
